Sgnyea,Prvcnm_id,a0101,a0102,a0103,a0104,a0105,a0106,a0107,a0108,a0109,a0110,a0111,a0112,a0113,a0114,a0115
年度标识,区块编号,AQI,PM2.5,PM_2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
140703,1233A,50,18,38,50,74,3,4,9,12,8,81,11,82,0.917,0.848
140704,1223A,223,173,68,89.987179,4,33,11,94,51,66,248,145,209,0.981,0.994
140704,1224A,102,76,43,83,46,5,6,49,32,29,187,112,160,1.274,0.672
140704,1225A,24,14,15,24,45,5,5,7,6,15,42,20,20,0.284,0.298
140704,1226A,178,134,62,165,87,31,18,89,48,78,196,129,174,0.821,0.709
140704,1227A,108,81,34,121,58,5,4,25,19,46,142,85,119,1.027,1.015
140704,1228A,196,147,53,219,85,19,8,77,39,2,69,15,29,1.38,1.328
140704,1229A,204,154,55,210,112,10,5,90,61,83,214,144,194,1.378,1.143
140704,1230A,198,148,46,158.5,69,25,13,82,60,96,187,135,170,1.352,1.079
140704,1231A,221,171,64,157.064516,95,15,10,35,26,123,190,146,161,1.026,0.805
140704,1232A,182,137,52,235,97,75,19,79,44,65,214,127,181,1.163,1.088
140704,1233A,88,65,33,95,65,2,3,19,16,180,271,195,218,0.887,0.786
140705,1223A,103.5,77.5,143,81,86,10,14,27.5,54.5,71.5,172,108,137.5,0.612,1.03
140705,1224A,82.5,60.5,83.5,62.7,108.5,5,6,32,48,65,123,77.5,99,0.9325,1.3255
140705,1225A,33,23,46.5,29.333333,69,5,5,8,8,47.5,55,47,50,0.6335,0.58
140705,1226A,73,53,111,71.615385,126,7.5,12,29,37.5,71.5,143,103,125.5,0.478,0.803
140705,1227A,66.5,48,82,63.5,120,4,5.5,16,30,53,80,61,74.5,0.7995,1.2165
140705,1228A,68.5,49.5,80,63.5,134,3,11,19,37.5,2,33,3.5,16,0.84,1.283
140705,1229A,61.5,44,88.5,50.454545,219.5,3,5.5,35.5,57.5,76,146,93,128,0.74,1.22
140705,1230A,73.5,53.5,97,61.25,115.5,4.5,13,34.5,57.5,98.5,145,111,127.5,0.7835,1.226
140705,1231A,64,46,107.5,62.612903,35.5,4.5,6.5,15,25.5,74,130,89.5,137.5,0.5055,0.88
140705,1232A,76.5,56,91.5,90.5,164.5,18,34,25,49,54,171,91.5,120,0.7135,1.1795
140705,1233A,91,67.5,91,95.5,128,6,4,12.5,24.5,63,189,98,184.5,0.748,1.0775
140706,1223A,68,49,75,50,124,3,11,62,63,6,142,25,95,0.931,1.024
140706,1224A,25,17,60,95.117647,96,5,8,29.045455,38,18,103,32,70,0.999,1.135
140706,1225A,47,26,25,47,51,5,5,6,8,9,50,22,48,0.392,0.628
140706,1226A,54,38,65,96.727273,107,16,24,48,58,11,137,33,103,0.566,0.765
